Code,Name,Country,Exchange,Currency,Type,YieldToMaturity, Book Value
US88160RAE18,Tesla 5.3% 15aug2025 USD,USA,BOND,USD,BOND,3.885, 1800
USU8810LAA18,Tesla 5.3% 15aug2025 USD,USA,BOND,USD,BOND,4.534, 46
